text,label,
you did not give me the correct exchange rate for an item that i bought,17,
the atm only gave me 10 pounds when i withdrew 30 what do i do,75,
is there a problem with my account when i tried to withdraw cash at an atm i was denied,26,
my atm withdrawal is taking forever,46,
i cant see all the refunds in my statement,51,
can i have a supplementary card,39,
i am not able to see the card pin anywhere,38,
the store card reader would not accept my card,25,
i was charged multiple times at the same location at the same time,63,
can you close my account please,55,
im panicking i lost my card help,41,
what do i have to do to get the contactless to work,23,
why is the topup i made still pending,47,
there is an unexplained 1 charge on my statement can you please explain this to me,34,
hi i have made a transaction to my new landlord but unfortunately it shows on my end but not on the landlords end the numbers are correct can you confirm when that will go through,66,
i need a visa card,73,
my card expires soon will you send me one automatically,9,
i am seeing unathorized transactions in the app on my account,20,
i need several cards per day and i need to be able to throw away all of the cards i make,29,
do you have to be in the uk to get a card,24,
the wrong account was used during a transaction,8,
someone else accessed my account and made a payment,16,
is my card lost i am still waiting for it to be delivered,11,
is there a tracking number for the card you sent me,11,
ive just got married and want to change my name,30,
why was there a transfer fee on my account,64,
what other currencies are available to change to,33,
do you have an age requirement when opening an account with your service,1,
can i exchange from usd to gbp,33,
there is a payment in the app that i did not approve,16,
how do i contact customer support about my declined transfer,27,
after i attempted a transfer it failed,35,
my card was rejected,25,
i have gone through my statements and noticed there is a large payment that i did not make can i still dispute the payment its been a while,28,
i purchased something overseas and the incorrect exchange rate was applied,17,
my card has been pending for a while what should i do,45,
how long does it typically take to make a transfer from a uk bank i just made one and it hasnt shown up in my account yet,5,
can you tell me your exchange rates,32,
i topped up but it isnt in my account,47,
will i get a visa or mastercard,73,
the rate applied to my purchase in a foreign currency was wrong,17,
i need to know where my funds come from,70,
how can i receive verification for the source of my funds,70,
are you only able to get a card if youre in the uk,24,
can i have it by a certain date,12,
how can i add money to my account if you dont accept cash,58,
hello i changed my mind and really need a refund on one of things i bought recently can you please cancel the transaction and get me my money back pls its urgent,52,
my atm withdrawal was cancelled,26,
my refund is not here yet,51,
what does it mean when a cash withdrawal is pending,46,
what cash stations take this card,3,
theres a payment with my card that i didnt perform i dont know that name shown,16,
machines make mistakes too the atm gave me the wrong amount of money too much,75,
my transfer isnt there,5,
the exchange rate for case abroad is applied wrong,76,
can you please tell me where my card is i ordered it 2 weeks ago,11,
help i think someone has made a cash withdrawal with my card,20,
i entered my pin wrong too many times,49,
i wanna revert a transaction i did this morning,8,
what different currencies can i get,33,
how do the foreign exchange rates work,32,
ive been waiting since friday where is my money,66,
there is a cash withdrawal from an atm listed but i dont remember making this withdrawal,20,
how much does each transfer cost,56,
my payment has been declined whats going on i thought everything was alright and working well,25,
im trying to make a bank transfer but its not going through could there not be enough funds to transfer or something have i done it too many times,35,
can i tell if my top off didnt work it doesnt seem to have,59,
the money disappeared when i tried to use my card to top up,62,
there is a cash withdrawal on my statement that i dont recognize,20,
its declining my transfers normally this works but my card is being declined now and ive tried more than once,27,
why can i not make a transfer,35,
how long do eu transfers actually take i recently bought something online a few days ago sent the money immediately online but the seller says its still not there yet,48,
what is the length of time for one of these items to come to the us,12,
can i deposit money using apple pay,2,
there was an extra fee when i was at the atm why,19,
is there a tracking number for the card,11,
why have i been charged more than once for the same transaction,63,
can this convert money,33,
why do the topups need to be verified,71,
will a cheque suffice,58,
i couldnt make a transfer,35,
can i change my pin at a cash machine,21,
what is the return policy,52,
i cannot get to my app what should i do,42,
there was an extra fee on my account when i got cash,19,
i am upset with your service please delete my account,55,
where do my available funds come from,70,
show me how to verify my identity,69,
how can i exchange currencies using your app,33,
why am i being charged the wrong currency exchange when i purchased something abroad,17,
what do i do after the atm takes my card,18,
if someone in a different country sends me money do i have to pay a fee,31,
my identity verification hasnt passed yet is it possible to use my account,74,
should my cash withdrawal still be pending,46,
need my details changed,30,
when will my transfer clear,48,
i think i am a victim of fraud i noticed there was a charge on my account that i didnt do because i havent touched my card today can you please reverse the charge and refund my money,28,
my card expires next week how do i get a new one,9,
can i use my new card,0,
i am on vacation in spain and think someone saw my pin when… can i change it at a local atm,21,
how does it work when i transfer money into my account,65,
can i have more disposable cards,29,
how can people transfer money to me,50,
whats the max i can top up,60,
hey i attempted to top up my card today and for some reason it didnt work when i did it the other way it worked just fine could you help me figure out why this is happening please,59,
how do i get a refund for something i bought,52,
my card shows a cash withdrawal i dont recognize,20,
where can i find a list of descriptions the disposable cards have,29,
which locations can i withdraw money from,3,
1 charge in transaction,34,
my wallet was taken and i see that someone is using my card please help me,20,
what is the strange cash withdrawal on my statement,20,
when will my pending payment finish,45,
could you please help me i made my rent payment and have double checked that i sent it to the right account the person receiving it says he has not received it but it shows complete on my side,66,
your system is broken my transfers keep failing 5 times now,35,
do cash withdrawals cost anything,19,
i ordered my card and it isnt here yet i need it asap when can i expect to get it,12,
i would like to know how my friend would be able to send me money,50,
i want to open an account for my children,1,
can i change my pin remotely,21,
i need to freeze my card as soon as possible i just checked my account and saw that there have been several payments that i dont recognize over the course of a few days can we investigate and get my money back,16,
the card i thought was lost was just in my jacket so can i reactivate it since i found it this morning,13,
i submitted a transaction but it was for the incorrect account,8,
i cant input my pin again,49,
using your app would i be able to exchange between usd and gbp,33,
i was informed that transfers were free i noticed i have a fee but why,64,
it seems like a transfer is pending,48,
an extra pound was charged,34,
why do you keep declining my payment i tried several times already with this card and it is just not working,25,
what documents do you need to verify my identity,69,
i am 16 and just started working at mcdonalds can i deposit my checks at your bank,1,
how much is it to use my us debit or credit card to top up,57,
from which age can my kids use your service,1,
i went for a meal in seattle and paid the bill but i think they charged me twice the first time they swiped the card i got a notification to say the money had gone out the account but then i added a tip and i think they swiped it all again can you refund one of the charges,63,
top up google pay is it possible,2,
i bought a product a week ago but may need to return it,52,
how do i revert a transaction,8,
i made a payment but it was returned,53,
what is preventing me from adding a specific beneficiary,7,
how long does it take to activate my card,0,
why was the payment on my card declined,25,
can someone please help assist me by explaining to me why my passcode is not working,44,
unknowingly to me the payment sent to seller has been redeposied back in my account i do not know why it would take out the payment and then put it back in my account can you resolve this as soon as possible,53,
how does your app transfer the money,65,
what are the reasons for my beneficiary not being allowed,7,
i was using foreign currency at an atm but the rate was typed in wrong,76,
how much does it cost to do a transfer,56,
i think that there was an error in calculating the exchange rate i recently withdrew cash and received much less than expected,76,
i am waiting on the refund,51,
i see cash withdrawal activity in the app that is not mine,20,
why did my transfer fail what can i do,35,
how long should it take for my topup to finish ive been waiting a while,47,
i saw there is a cash withdrawal from my account via the app which i did not complete,20,
how do i get my card active,0,
what information do i need to see my source of money,70,
is there an automatic top up feature,4,
i wanted to know why there is a transfer of mine pending,48,
someone stole my phone what is my next step,42,
can i change my address,30,
i made a payment thats pending will it go through,45,
today i used my card at a restaurant and it was declined why,14,
what is the age limit for opening a new account,1,
i want a refund for an item,52,
is there a reason that my transfer failed,35,
do the disposable cards have any restrictions on them,29,
i tried to make a withdrawal from the atm but it was cancelled,26,
i cant freeze my account as i need the card as i am traveling how do i change my pin,21,
i made a transfer and was charged an extra fee,64,
why did they take more money out then i withdrawed,19,
can i choose between mastercard and visa,73,
there is a missing transfer on my account,5,
whats the minimum age to have an account,1,
if i found an error in my account for a transaction i didnt make how long to i have to dispute it,28,
i was wondering if international transfers take longer than normal because i made a transfer from france a couple of days ago and nothing has happened yet,5,
do you know the reason for the identity check,74,
european bank card for top up will come with any extra fees,57,
i made a cash deposit to my account but i dont see it,6,
who can purchase a disposable virtual card,37,
what do i do if my card is not working,14,
im still waiting for my new card,11,
i need a disposable virtual card please tell me how to order one,37,
how long does it take to verify a cash withdraw,46,
i dont remember my login code,44,
my atm withdrawal was declined,26,
how can i go about getting a refund,52,
can you tell me if a creditrefund is coming from a seller i asked for refund directly from them and am still waiting its been a week now and i still havnt seen my refund yet,51,
how do i see what fees i am supposed to be charged on my account ive noticed fees on some transactions but not on others this is very confusing and i cannot find a pattern to what i am being charged,15,
how can the money machine keep my card what do i need to do,18,
can i top up my balance with a cheque,58,
please check and let me know why my transfers are getting declined,27,
what is the best way to get my virtual card,40,
why didnt my transfer get to the recipient,66,
where can i see money source,70,
ive deposited a check but the cash isnt showing that its there yet,6,
i want a refund,52,
im interested in getting a card how does one go about doing that,43,
what is your checkcashing policy,58,
how long will a transfer from the us take,67,
what is the purpose for verifying my identity,74,
my card is expiring how do i get a new one,9,
the atm keeps declining my transaction i tried two different atms already can you please check if everything is okay with my account,26,
i need some help figuring out what this strange payment is on my account its stays pending and wont go away,34,
what transfer methods do you accept,65,
money was transferred to me and i am unable to see it,48,
do i have to pay for a physical card,43,
my bank card has expired how can i get a new physical card,9,
i put some money in my account the other day and its not gone in yet can you help with this,6,
why does my statement contain an extra fee,34,
do you have any card fees if i want to add money using an international card,57,
i dont know what my passcode is can you help,44,
do i need to speak to a representative to change my pin,21,
my topup didnt go through it still says pending whats up with that,47,
do you offer swift transfers,56,
how do i know where the funds come from,70,
where is card accepted,10,
there is an unauthorized payment in my statement,16,
it says the transfer wasnt accepted,27,
why was i charged a fee when making this transfer when i shouldnt have been,64,
my money hasnt been transferred yet,5,
i think someone might have a copy of my card because a 500 dollar withdrawal was made and it wasnt me can you please help,20,
there is a weird payment in my statement,16,
how to delete account not happy,55,
i made a transaction at an atm and was charged extra for it,19,
my exchange rate looks wrong for my last payment,17,
why was i charged 1 in a transaction,34,
i tried to withdraw some funds from my card but was declined how can i get my money,26,
i purchases several items today why are they still showing pending,45,
will you tell me how to exchange usd for gbp in the app,33,
can i choose what card i can use,73,
whats up with the fee for getting cash,19,
i need to deposit my virtual card how do i do that,37,
what is the longest a us transfer should take to appear in my account,67,
what steps do you take to check identity,69,
does your app allow currency exchange from usd to gbp,33,
what stipulations do disposable cards entail,29,
i was wrongfully charged one pound,34,
what is the reason for that,14,
how many times can i use my disposable card,29,
i am having trouble transferring money to a beneficiery,7,
help me activate my new card,0,
how do i link a new payment card,13,
how can i use my credit card to transfer money,62,
my topup hasnt gone through,47,
i cant get cash from the atm,26,
can i still access the app even though my phone was stolen,42,
i want to reactivate my card i found it after thinking it was lost,13,
was i charged more than i should of been for a currency exchange,17,
there has been a transfer pending in my account and i wanted to know how long it is going to take to go through,48,
my balance doesnt show my deposit,6,
i question todays exchange rate for rubles into pounds i was hoping for a better return,17,
what are all of the different steps for identity checks,69,
i see cash in my app but i did not get it,20,
my source of funds require verification,70,
after putting in the wrong pin too many times i was blocked can you assist me in changing it,49,
i dont understand why my card payment is pending it has been pending for too long why is this and when might it go through,45,
whats going on i was just recently charged for an atm withdrawal ive never seen this charge before and before its always been free,19,
why wont my virtual card work,72,
i am noticing that a refund of a large purchase still has not been credited to my account i contacted the merchant a few days ago and he assured me that he would submit it right away is there a status update,51,
my refund isnt showing up,51,
top up not available in my wallet,62,
can you please tell me why my cash withdrawal is still pending,46,
i made a mistake and performed a transaction on the wrong account,8,
how do i go forth on holding money in multiple currencies,36,
my phone was left behind can i still use my card,42,
i cant figure out how to change gbp to aud what do i do,33,
how do i fix my card if it is broken,14,
help me with a pin change,21,
can i have a mastercard,73,
how do i verify the topup,71,
the correct amount of cash was not received,75,
which part of the app do i order virtual cards from,40,
will you set a limit to my topup,60,
i used my card to top up but its saying it is still pending what does this mean,47,
i am on vacation in spain and need to change my pin,21,
i just transferred some money into my account and do not see it updated yet can you assist,5,
can you tell me if i can hold money in several currencies,36,
is there a way to see my moneys source,70,
i am inquiring about why there was an extra fee charged when i used an atm,19,
why hasnt my friend received the money i sent them yet,66,
my card payment has had the status of pending forever what is the issue it should have gone through at some point,45,
i need to cancel a transaction,8,
i dont understanfd how to top up,62,
how do i know if my topup went through,47,
i traded some of my money from my native country into an atm to exchange for foreign currency and the money i received was a different equating amount,76,
how can i link the new card,13,
my phone was taken yesterday is there something that i need to do,42,
will you accept my credit card it my only one,54,
i want to top up by cheque,58,
i dont know what this direct debit payment on my account is for,28,
i dont know what happened but my payment was cancelled,53,
how can i create a disposable virtual card,37,
how do i add the card i just received to show up in the app,13,
why didnt my friends transaction arrive yet,66,
why am i charged whenever i withdraw cash,19,
where is an atm,3,
why is my beneficiary not being allowed to get payment services,7,
i cant access my money is it because somethings wrong with the topup i set it up correctly,59,
my pin has been blocked,49,
are there any restrictions for the disposable cards that i need to be aware of,29,
what are your exchange rates calculated from,32,
im on vacation in europe but i desperately need to change my pin can i do this from abroad,21,
there is money in my account that i didnt put there,20,
can you please explain why i was charged an extra fee for my transfer,64,
i have made a payment by my card and its still pending since a long time could you please tell me when it will process,45,
can i setup top ups in advance,4,
i put in a payment a while ago and it has still not cleared and is showing up as pending how long does it take to clear,45,
my new card needs activating,0,
i dont recognize this payment at all help,16,
can you tell me why i was charged to withdraw cash,19,
ive made a horrible mistake i transferred money to the wrong account by accident i entered one of the digits wrong i need this cancelled immediately please,8,
i am under 18 and i am trying to verify my id why wont it work,68,
where are you cards supported,24,
where do i find my pin,38,
i am express delivering my card to the us how long will that take,12,
how many virtual cards can i have i want 8,40,
i just made a transfer from a uk account how long does that typically take to show up i just want to make sure it worked alright,5,
why is the atm not allowing me to get cash,26,
how long does a topup take to go through,47,
what is the present state of the exchange rate,32,
what to do about stolen phone,42,
is it possible to obtain both a visa and a mastercard from you,73,
why is my top up not completing,47,
my card will expire next month will i need to order a new one,9,
i forgot my code,44,
i was charged extra was the exchange rate for my payment last saturday wrong,17,
what is the age limit for an account,1,
where is my pin located,38,
can i stop a transaction,8,
i dont remember my passcode,44,
how will i know my pin number,38,
i need to cancel my recent transfer i made a mistake please help quickly before the transfer goes through,8,
are you sending me my card,12,
what do i need to do in order to get a new card,43,
i deposited a cheque with some money but the balance hasnt changed,6,
ive made a transfer from france two days ago but i was wondering if international transfers take longer to arrive because it hasnt made it yet,5,
why was my transaction not approved,35,
how long until i see a cash withdrawal,46,
what currency can i use to add money,54,
what is the most that i can topup to a card,60,
can you tell me how do i get a card,43,
ive been waiting a while for my card is there a way to know when it will arrive,11,
did you deactivate my card its not working anymore,14,
when does my balance update for a transfer,5,
do you offer account services for children and teens,1,
why does a cash withdrawal show as pending,46,
i need to proof my identity to you why and how,74,
there is a payment that has not processed,45,
i think someone else is using my card,22,
can i get spare cards,39,
why was my transaction charged an extra fee when paying with my card,15,
can i open an account for my offspring,1,
i havent received my pin yet do i need to get it from you,38,
how do i see the source of my money,70,
how long does it typically take a transfer to go through i sent some money to a friend earlier today and she really needs it it still is a pending transfer even though i sent it a few hours ago,66,
how to get virtual card,40,
do i have to pay more for exchanges,31,
can i top up an apple pay,2,
my card isnt letting me purchase something and i wanted to know why,7,
i have a duplicate charge,63,
why is there an identity check,74,
the transaction for the cash i pulled out of the atm earlier is pending in the app but how if i already have the cash,46,
i got mugged yesterday and they took everything i cant use the app so i need some help,42,
i am calling because the atm didnt give me the right amount of cash but my app shows the actual amount i wanted to withdraw what should i do to get my money back,75,
theres an unauthorized direct debit in my app,28,
i am getting charged fees on some payments please help me understand where are these fees disclosed,15,
how do i get a disposable virtual card as well,37,
i left my phone at the hotel i was staying at so i cant use the app,42,
i was so embarrassed why didnt my payment clear,25,
where do your cards get delivered to,43,
my money transfer has not happened yet,48,
can i auto top if im low on funds,4,
i have zero dollars in my account can i submit additional funds via bank transfer,65,
what do i have to do to cancel a transfer,8,
i made a rent payment from the wrong account yesterday it absolutely has to go through tomorrow so can you please reroute the payment to the right account,8,
what other credit cards can i use,54,
why was i charged twice,63,
are the funds i requested from a merchant a few days ago in my account i do not see them,51,
do you send more than one card,39,
what about my children,1,
how can i make my card show up in the app,13,
why was money taken for a transfer,64,
is there a way to undo a transaction,8,
i sent some money and the account hasnt recived the transfer i made,66,
i cannot remember my passcode is there a way to retrieve it,44,
i dont understand why you arent accepting my transfer after a couple times trying im still getting an error message,7,
i have been charged twice this week for a couple of things on my card can you please check this out for me and return the double charged items back,63,
my payment was stopped,53,
hello i tried doing a topup and i thought it worked but now the money is no longer in my account can you explain,61,
is there a charge for using transfers for top ups,56,
why is my purchase showing as pending,45,
this card is accepted by what businesses,10,
will i get charged for topping up with an international card,57,
looking back on my transactions from a couple of months ago i have noticed a charge that is fairly large that im certain was not completed by me i know it has been a while but can i please dispute this charge,28,
i am required to make several disposable cards every day,29,
can i verify my identity i the app,69,
where would i find top up by cash deposit,58,
how is my atm deposit not available yet,46,
i see a reverted payment on my account why has this happened,53,
there is a payment showing on my app that i didnt do will you please cancel this payment and refund my money,28,
theres a payment that isnt mine on my app,16,
my cards were stolen,42,
is it possible to top up by card,62,
how long should it take for my new card to arrive in them mail what should i do if i never receive it,11,
which countries can i change my pin in,21,
how can correct top up with the app to work correctly,59,
how do i go about getting a refund,52,
what is the foreign exchange rate you will apply,32,
i will not be able to verify my identity,68,
where can i find my card pin,38,
how can my friend pay me,50,
i would like to change my name after marriage,30,
i made a payment with my card that was cancelled,53,
can you tell me why my topup was canceled,61,
is it ok if i use both visa and mastercard,73,
how much does it cost for a physical card,43,
can you issue both a visa and a mastercard to me,73,
does the fee for exchange change,17,
i dont understand why im being charged for using my card,15,
i was just needing to know why my card got declined,25,
show me where to order my card,43,
why would the app show a withdrawal that i did not make,20,
what should i do if i see a withdrawal is pending,46,
is getting my identity verified required before i can use my account,74,
can you check if my money has reached my account since it is not showing up yet,5,
what is the maximum transactions i can use on a disposable card,29,
i withdraw cash from the atm and was charged a fee,19,
what atm locations are near me,3,
transfers may show up as pending for up to one business day while they are processed and then theyll depart for the beneficiary accounts please confirm that you have correctly entered your account details sepa transfers typically take up to two working days while swift transfers can take up to five working days,48,
what do i need to do in order to use my card i just got,0,
i need assistance finding out why i am unable to topup my card it keeps getting refused it is extremely imperative i get this resolved quickly,59,
for my account how do i transfer money in,65,
why does my identity need to be verified,74,
when will it get delivered,12,
was i charged extra for using my card,15,
the card payment didnt work,53,
whats the process for topping up my card,62,
need to know where money comes from,70,
how do i dispute a direct debit that i didnt do,28,
why does my transfer say it is pending,48,
i need to get a disposable virtual card,37,
it looks like my top up didnt work why,59,
do i have to verify the topup,71,
my card was supposed to arrive but hasnt,11,
i cannot find my card pin,38,
is there any limits i should know about if im going to use a disposable virtual card,29,
why cant i transfer to my account,7,
my purchase from this morning still is pending,45,
will my card be here soon,12,
when my card expires what is the cost of a replacement and how fast,9,
how do i deposit through bank transfer,65,
i am just waiting on the completion of the transaction,66,
no option to top up with a cheque,58,
could you send me and up date on the arrival of my card,11,
my top up hasnt gone through,47,
which countries do you operate in,24,
can i have more than one card,39,
why is top up pending,47,
will it cost me to get a second card,39,
what is the normal time to make an international transfer i made one a few days ago that still hasnt arrived,5,
my app was on the phone and i was mugged what do i do,42,
can it automatically top up my account,4,
what is the cost for exchanging currencies,31,
please help me get a visa card,73,
why was i blocked from withdrawing from the atm,26,
why is my top up not showing up in my wallet,62,
the machine only paid me a hundred when i wanted 20,75,
why was my topup declined,61,
why is my topup showing as cancelled,61,
what do i do when a charge has been made that i did not make,20,
can i change my pin,21,
i believe that a card payment i made was cancelled,53,
i got my card now how do i make it show up in the app,13,
do you have to be 18 to make an account,1,
i just got a new card how do i get it to start working,0,
my account is devoid of funds am i permitted to submit additional money via bank transfer,65,
i would like to change to a different currency,33,
my pin cant access my card can you help,49,
my pin hasnt arrived in the post how do i cancel it or get a new one,38,
is it free to transfer money or is there a fee,64,
can i topup any amount i wish on any given day,60,
where is my card,11,
please help me as my online payment is getting declined since yesterday while i am trying to purchase something online,27,
when will the balance on my account change form a transfer,5,
what foreign exchange rate will i get,32,
is the card welcomed by everybody,10,
i tried to pay through my account but the payment is not going through whats going on,45,
my card payment was reverted,53,
um my top up didnt work,59,
i got less cash than what i specified for through the atm,75,
why is it taking so long for a transfer to complete,66,
cancelling a transaction,8,
how long does delivery take,12,
unable to use my american express with apple pay to top up my account,2,
if i need to make an exchange from usd to gbp how can i do so in the app,33,
i did not get all the cash at atm,75,
what i need to verify my account,74,
are there any charges for using a bank card to top up,57,
currently my card is broken,14,
help in the app there is a payment that i dont remember,16,
why was i charged a fee when i withdrew money,19,
i was trying to purchase some crypto and the app wont allow me to do it whats the deal with this i really wanted to complete the exchange,7,
i withdrew money from the atm and was overcharged it said nothing about an extra fee,76,
topup is loaded into the card and no update,47,
how long will it take to deliver to the us,12,
it can take between 10 minutes to an hour before you hear back from us about the verification result please try again if your verification fails make sure you double check that images are clear and all document photos are readable without blur or glare you have to be 18 or older and live in the european economic area or live in switzerland to be able to open an account,68,
i might be paranoid but someone may be using my card,22,
tell me what atms allow me to change my pin,21,
there has been an unusual withdrawal from my account can you help,20,
are you able to guide me to my cards location,41,
can you tell me what countries you offer support for,24,
i sent a payment but it isnt showing up in the app,66,
why has my money disappeared i topped up earlier and seen it was there and had went through what seems to be the problem,61,
how can i obtain a disposable virtual card,37,
i could not access my money at the atm,26,
there is an extra charge on my account i didnt authorise its just £1 what is it,34,
i tried to make a transfer and it failed,35,
the money is still in my account even though i already paid i dont understand what happened,53,
can i add money to my account via bank transfer,65,
is there a way i can check on the card on route to me,11,
do you provide currency exchange to euros,36,
i am not a premium customer but i want a virtual card how do i get it,29,
should i complete my security verification before i can use my account,74,
i have not received a refund,51,
how many active cards can i have,39,
how do i obtain a second card,39,
i see a fee that i think was charged because i paid by card,15,
why is the transfer showing pending,48,
i tried to do a transfer but it didnt go through,35,
i moved and need to change my personal information,30,
why are you keeping my money from me by declining my card what is going on,59,
i have to make several disposable cards per day,29,
i made a payment but the app cancelled it,53,
what card types can i choose from,73,
i need to know if you will accept my credit card,54,
my top up has been pending for an hour already and i really need this to go through as soon as possible can you help,47,
i believe my card has been compromised as theres a cash withdrawal i dont recognize,20,
is the topup amount unlimited,60,
i dont recognise some of these transactions i think someone has my card details,22,
i really want a physical card how do i get one,43,
how much is it to exchange currency,31,
are cards from the us accepted,54,
please help me change my pin,21,
are extra cards free,39,
it looks like the exchange rates on my card payment are wrong,17,
when traveling is it possible for it to add money at specific time intervals,4,
i took out some cash from the atm but it is still showing the transaction is pending,46,
can i use your services without access to the app,42,
i have obtained the salary in gbp will it need to be configured,50,
can you tell me which cards and currencies are supported,54,
how much will i be charged for making a transfer,56,
can you tell me what the disposable cards are used for,37,
is there any way to get my salary in a different currency,50,
is there always a charge when withdrawing money,19,
why does it cost more to pay with my card,15,
is there a problem with the top up system my transaction hasnt gone through properly,47,
the other bank confirmed a transfer i made but this account is not reflecting it yet,5,
i tried to transfer money to a receiver and they didnt get the right amount what is going on and who do i contact to help me,64,
my phone has been stolen by someone,42,
does it cost extra to send out more than one card,39,
can i order a new card mine is about to expire,9,
i wanted 100 but only got 20,75,
i dont know whats going on but all of my transfers keep getting declined i have checked over the recipient details twice these details are all correct,27,
why didnt my transfer to a beneficiary happen,7,
there is a direct debit set up that was not authorized by me,28,
how do i change to a different currency,33,
i do not see the card pin anywhere,38,
theres a weird payment showing in my app that i definitely havent made myself as i havent used the card at all that day please cancel that and return my money,28,
show me how to activate my card,0,
how long is delivery to the us,12,
why do you ask for topup verification,71,
i thought that transfers are free why was i charged an extra fee,64,
my card arrived but i need to make it work in the app how do i do that,13,
why do i see a fee when i do a transfer,64,
about two days ago now i made a transfer from france but it hasnt arrived yet is it possible that the international transfer just takes longer,5,
how many physical cards am i allowed to have,39,
why wont the atm let me withdraw money,26,
i would like help to revert a transaction i did this morning,8,
how can i verify the topup card,71,
why was i charged extra on my last uk pound to russian ruble exchange,17,
my card information seems to have been stolen i dont know where these transactions came from and ive never even been to the city where they were made i need my card blocked asap so this person cant keep using my card,22,
what is this cash withdrawal i dont recognize,20,
i dont know whats wrong with my card but it has not worked at multiple places today,14,
i had a problem with my card payment can you help,25,
atm apparently not working couldnt access funds in my account,26,
what is the greatest number of times that i can topup,60,
i tried using my atm card at your notting hill location today it did not work am i doing something wrong,26,
how are the exchange rates determined,32,
can you tell me how to get a disposable virtual card,37,
is there a way yo change my pin,21,
how long does it take for a top up to go through,47,
i am not comfortable verifying my indentity,74,
how do i know if i need a disposable card,37,
a 500 pound cash withdrawal was just made from my account but i didnt make it i am pretty sure my card has been compromised can you help me,20,
what kind of charges should i expect to exchange currencies,31,
can i transfer my salary if its in gbp,50,
i did a transaction this morning and now i want to cancel it,8,
are you okay with exchanges to eur,36,
i cant use my virtual disposable card,72,
i need to transfer money to my account from another bank,65,
can it add money automatically while travelling,4,
why didnt i receive the correct exchange rate for an item that i purchased,17,
why is my atm withdrawal still pending,46,
why was one of my transfers declined,27,
my transfer is pending why,48,
after i deposited my cash i still dont see it in my account,6,
why is identity verification required,74,
there are a couple of payments with my card shown in the app that i really didnt make myself why is it happened,16,
can i have a virtual card,40,
why was my payment reverted on the app,53,
can i transfer money to my card via banktransfer,65,
i am trying to transfer money and something is going wrong,35,
how does someone else top up my account,62,
where can i modify my information,30,
i just replaced my phone but how do i use my card information,42,
atm withdrawal not working,26,
for adding money which currencies do you accept,54,
i wanted to know about a pending dollar that is on my statement,34,
on a card payment why is there a fee,15,
how do i report fraud on my card,22,
i heard that you support more than one type of fiat currency would you tell me which ones please,36,
i am not happy with your company please delete my account asap,55,
maximum how many days get the courier,11,
explain the card pin to me,38,
can i top up with cash,58,
can i trace where my funds came from,70,
my friends would like to add to my account what is the procedure,62,
can my salary be received and transferred to my current currency in my country,50,
i didnt do a payment and i have it now,16,
what is the average wait for transfers,67,
i need a new card my old card is expiring,9,
i accidentally made a payment to a wrong account what should i do,8,
my topup was declined,59,
can i set my own topup limit,60,
the exchange rate looks wrong on a holiday purchase,17,
help i think my phone may be stolen or lost,42,
i just had a look at my statement why have i been changed for using the atm,19,
